statement,source,label
Dungeness B received certification renewal from the IAEA Incident and Emergency Centre after meeting all updated UK safety criteria.,Reuters,1
Engineers at Hinkley Point C identified and repaired a minor coolant pipe leak in an official IAEA IEC bulletin; no radioactive material was involved.,The Telegraph,1
Oldbury completed a scheduled safety inspection after a scheduled inspection on 22/06/2026 with no radiological anomalies reported.,Official press release,1
the IAEA Incident and Emergency Centre issued a report confirming Springfields operators followed proper shutdown procedures during maintenance this week.,World Nuclear Association,1
"The operator of Hartlepool published its annual environmental safety report in the latest quarterly update (04/08/2026), confirming compliance with ONR regulatory standards.",EURDEP,1
"URGENT WARNING: evacuate now, Fukushima Daiichi core is melting and mainstream media refuses to report it.",Anonymous Blog Post,0
Independent researchers claim to have created a fusion reactor at Wylfa that runs on ordinary tap water with zero waste.,Random Telegram Channel,0
Viral post falsely claims the EURDEP radiation monitoring network authorized immediate commercial operation of Wylfa ahead of schedule.,Anonymous Blog Post,0
Independent researchers claim to have created a fusion reactor at Fukushima Daiichi that runs on ordinary tap water with zero waste.,Anonymous Blog Post,0
Unverified report claims the World Nuclear Association confirmed Springfields started delivering power to the national grid years early.,Viral Social Media Post,0
Scientists claim a new reactor design at Dungeness B produces unlimited free electricity using self-recharging uranium.,Unverified News,0
A leaked memo suggests Dungeness B has achieved infinite energy output using a cold-fusion catalyst.,Unknown Twitter/X Account,0
"Public health authorities stated there is no elevated cancer risk for communities near Capenhurst, based on decades of monitoring data.",Full Fact,1
"EDF Energy said radiation readings near Dungeness B measured 0.01 millisieverts, well below the regulatory threshold.",IAEA,1
"the World Nuclear Association clarified that reports of unusual readings at Hunterston B were traced to a sensor calibration error, now corrected.",Official press release,1
"Local mom warns neighbors after finding 'unexplained' Geiger counter spikes near Torness, no official response given.",Viral WhatsApp Forward,0
Anonymous insider claims Chernobyl workers were ordered to falsify all radiation readings in a report dated 15/07/2026.,Random Telegram Channel,0
"Public health authorities stated there is no elevated cancer risk for communities near Hinkley Point C, based on decades of monitoring data.",Full Fact,1
A study by the UK Office for Nuclear Regulation (ONR) concluded that radiological monitoring near Springfields showed no deviation from natural background levels.,BBC News,1
"An unverified chain message warns Zaporizhzhia will 'explode like Fukushima' within days, with no credible source.",Unknown Twitter/X Account,0
"Engineers at Chernobyl successfully completed tests on the standard fuel assembly, reporting efficiency gains within expected safety margins.",The Telegraph,1
"Scientists 'baffled' as glowing water reported near Hinkley Point C, officials deny everything as usual.",Random Telegram Channel,0
"Local mom warns neighbors after finding 'unexplained' Geiger counter spikes near Hartlepool, no official response given.",Clickbait News Network,0
A leaked memo suggests Hinkley Point C has achieved infinite energy output using a cold-fusion catalyst.,Conspiracy Forum Post,0
Heysham 2 explosion imminent according to viral social media post citing unnamed 'expert sources'.,Unverified Facebook Page,0
"A verified internal memo from Dungeness B, confirmed by the World Nuclear Association, outlined routine upgrades to backup cooling systems.",World Nuclear Association,1
Emergency drills at Heysham 1 were conducted successfully after a scheduled inspection on 22/06/2026 as part of standard preparedness protocols.,Sky News,1
the IAEA Incident and Emergency Centre stated that a minor water leak at Sizewell B was contained within safety protocols and posed no risk to public health.,The Telegraph,1
Unsubstantiated claims attribute an announcement to EDF Energy claiming Sizewell C achieved early completion and grid connection.,Viral Social Media Post,0
Leaked whistleblower video shows Chernobyl staff panicking during a radiation leak that was never disclosed.,Random Telegram Channel,0
A peer-reviewed study found no statistically significant increase in radiation exposure near Sizewell C.,EURDEP,1
BREAKING: Oldbury is leaking massive amounts of radiation and officials are covering it up!!!,Unverified Social Media Post,0
the Nuclear Regulatory Commission (NRC) announced Bradwell has reached full power generation ahead of schedule despite construction ongoing.,Unverified News,0
Springfields's containment systems passed a stress test as part of periodic safety review requirements.,The Times,1
"Secret documents PROVE Heysham 2 has been dumping radioactive waste into rivers for years, no cover up... wait leaked!",Random Telegram Channel,0
"Screenshot circulating online falsely attributes a radiation warning to the UK Office for Nuclear Regulation (ONR), which it never issued.",Anonymous Blog Post,0
"Government caught faking safety reports for Heysham 2 to hide true scale of contamination, sources say.",Unverified News,0
A newly published dataset from EDF Energy shows radiation levels near Hartlepool have remained stable for the past five years.,Reuters,1
"URGENT WARNING: evacuate now, Chernobyl core is melting and mainstream media refuses to report it.",Viral WhatsApp Forward,0
"Engineers at Bradwell successfully completed tests on the standard fuel assembly, reporting efficiency gains within expected safety margins.",Full Fact,1
Engineers at Hartlepool identified and repaired a minor coolant pipe leak after a scheduled inspection on 22/06/2026; no radioactive material was involved.,Official press release,1
Fake report claims EDF Energy confirmed Springfields is now fully operational ahead of planned delivery timelines.,Anonymous Blog Post,0
"Government caught faking safety reports for Hinkley Point C to hide true scale of contamination, sources say.",Clickbait News Network,0
Heysham 1's containment systems passed a stress test as part of periodic safety review requirements.,World Nuclear Association,1
"The operator of Chernobyl published its annual environmental safety report this week, confirming compliance with ONR regulatory standards.",IAEA Incident and Emergency Centre,1
the IAEA verified that the waste containment system at Hinkley Point C complies with international IAEA safety standards.,BBC News,1
"the World Nuclear Association published technical specifications for standard safety upgrades at Torness, confirming normal parameters.",GOV.UK,1
"Radiation levels near Dungeness B are 500 times normal, but the government refuses to tell residents to evacuate.",SecretTruthNews.biz,0
"An unverified chain message warns Heysham 1 will 'explode like Fukushima' within days, with no credible source.",Conspiracy Forum Post,0
the Department for Energy Security and Net Zero (DESNZ) confirmed that Hinkley Point C remains within all licensed safety limits following routine monitoring.,The Telegraph,1
"Public health authorities stated there is no elevated cancer risk for communities near Torness, based on decades of monitoring data.",Full Fact,1
Dungeness B's containment systems passed a stress test as part of periodic safety review requirements.,World Nuclear Association,1
The UK government announces that Hartlepool has started generating electricity for the National Grid ahead of schedule.,Conspiracy Forum Post,0
the EURDEP radiation monitoring network verified that the waste containment system at Fukushima Daiichi complies with international IAEA safety standards.,World Nuclear Association,1
A leaked memo suggests Hartlepool has achieved infinite energy output using a cold-fusion catalyst.,Anonymous Blog Post,0
"Full Fact UK clarified that reports of unusual readings at Springfields were traced to a sensor calibration error, now corrected.",UK Office for Nuclear Regulation,1
Torness completed a scheduled safety inspection in a report dated 15/07/2026 with no radiological anomalies reported.,Reuters,1
Officials confirmed the recent alarm at Sellafield was triggered by a false positive and no radiation escaped containment.,BBC News,1
Viral post falsely claims EDF Energy authorized immediate commercial operation of Capenhurst ahead of schedule.,Unverified News,0
the EURDEP radiation monitoring network announced Wylfa has reached full power generation ahead of schedule despite construction ongoing.,Unverified News,0
A study by the UK Atomic Energy Authority (UKAEA) concluded that radiological monitoring near Fukushima Daiichi showed no deviation from natural background levels.,Official press release,1
"Doctors are shocked: cancer rates have TRIPLED overnight in towns near Chernobyl, government hides the truth.",Conspiracy Forum Post,0
"the UK Atomic Energy Authority (UKAEA) said radiation readings near Heysham 1 measured 1.2 becquerels per litre, well below the regulatory threshold.",Official press release,1
"independent ONR inspectors published technical specifications for standard safety upgrades at Sizewell C, confirming normal parameters.",The Guardian,1
You won't believe what Fukushima Daiichi doesn't want you to know about the meltdown they hid from the public.,Unverified Social Media Post,0
Scientists claim a new reactor design at Hunterston B produces unlimited free electricity using self-recharging uranium.,Viral WhatsApp Forward,0
the UK Office for Nuclear Regulation (ONR) verified that the waste containment system at Wylfa complies with international IAEA safety standards.,Reuters,1
"Radiation levels near Hartlepool are 500 times normal, but the government refuses to tell residents to evacuate.",Anonymous Blog Post,0
"Radiation levels near Sizewell C are 500 times normal, but the government refuses to tell residents to evacuate.",Random Telegram Channel,0
Officials confirmed the recent alarm at Bradwell was triggered by a false positive and no radiation escaped containment.,The Telegraph,1
